soundingID,date,hour,Longitude,Latitude,inSmoke,GISExists,NOXEmission,NOXPercentOfMax,maxNOX,DOF
Run08164_Seq0001_Scan120,20080729,19.4738884,-96.985336,53.051132,FALSE,TRUE,NA,NA,2.64E+13,0.018832849
Run08164_Seq0001_Scan122,20080729,19.48277855,-97.367538,53.84066,FALSE,TRUE,NA,NA,2.64E+13,0.939768374
Run08164_Seq0001_Scan123,20080729,19.48277855,-97.563354,54.235001,FALSE,TRUE,NA,NA,2.64E+13,0.779477775
Run08164_Seq0001_Scan127,20080729,19.49166679,-98.379646,55.809746,FALSE,TRUE,NA,NA,2.64E+13,0.748450935
Run08164_Seq0001_Scan128,20080729,19.49166679,-98.592896,56.203243,TRUE,TRUE,NA,NA,2.64E+13,0.89178288
Run08164_Seq0001_Scan129,20080729,19.49166679,-98.809708,56.595825,TRUE,TRUE,NA,NA,2.64E+13,0.368644297
Run08164_Seq0001_Scan130,20080729,19.50055504,-99.030365,56.988056,TRUE,TRUE,NA,NA,2.64E+13,0.197395593
Run08164_Seq0001_Scan131,20080729,19.50055504,-99.255386,57.380241,TRUE,TRUE,NA,NA,2.64E+13,0.880260706
Run08164_Seq0001_Scan132,20080729,19.50055504,-99.484192,57.771492,TRUE,TRUE,NA,NA,2.64E+13,0.957264662
Run08164_Seq0001_Scan133,20080729,19.50055504,-99.718056,58.163239,TRUE,TRUE,NA,NA,2.64E+13,0.342477024
Run08164_Seq0001_Scan134,20080729,19.50055504,-99.955696,58.553673,TRUE,TRUE,NA,NA,2.64E+13,0.844828546
Run08164_Seq0001_Scan135,20080729,19.50944519,-100.19883,58.944756,TRUE,TRUE,NA,NA,2.64E+13,0.893857598
Run08164_Seq0001_Scan136,20080729,19.50944519,-100.44612,59.33432,TRUE,TRUE,NA,NA,2.64E+13,0.730913877
Run08164_Seq0001_Scan137,20080729,19.50944519,-100.69932,59.724701,TRUE,TRUE,NA,NA,2.64E+13,0.815921009
Run08164_Seq0001_Scan138,20080729,19.50944519,-100.95708,60.11356,TRUE,TRUE,NA,NA,2.64E+13,0.01466168
Run08164_Seq0001_Scan139,20080729,19.51833344,-101.22088,60.502819,TRUE,TRUE,NA,NA,2.64E+13,0.976181865
Run08164_Seq0001_Scan140,20080729,19.51833344,-101.48991,60.890896,TRUE,TRUE,NA,NA,2.64E+13,0.829627872
Run08164_Seq0001_Scan141,20080729,19.51833344,-101.76515,61.279186,TRUE,TRUE,NA,NA,2.64E+13,0.996720493
Run08164_Seq0001_Scan143,20080729,19.51833344,-102.33443,62.053871,TRUE,TRUE,NA,NA,2.64E+13,0.989260554
Run08164_Seq0001_Scan146,20080729,19.52722168,-103.23848,63.211174,TRUE,TRUE,NA,NA,2.64E+13,0.278603077
Run08164_Seq0001_Scan147,20080729,19.52722168,-103.55503,63.596252,TRUE,TRUE,NA,NA,2.64E+13,0.230115905
Run08164_Seq0001_Scan149,20080729,19.53611183,-104.2112,64.363655,FALSE,TRUE,NA,NA,2.64E+13,0.012690065
Run08164_Seq0001_Scan150,20080729,19.53611183,-104.55225,64.746597,FALSE,TRUE,NA,NA,2.64E+13,0.122255035
Run08164_Seq0001_Scan151,20080729,19.53611183,-104.90195,65.128639,FALSE,TRUE,NA,NA,2.64E+13,0.645305872
Run08164_Seq0001_Scan152,20080729,19.53611183,-105.26119,65.510025,FALSE,TRUE,NA,NA,2.64E+13,0.255787998
Run08164_Seq0001_Scan153,20080729,19.54500008,-105.63039,65.890877,FALSE,TRUE,NA,NA,2.64E+13,0.143885016
Run08164_Seq0001_Scan154,20080729,19.54500008,-106.00948,66.270493,FALSE,TRUE,NA,NA,2.64E+13,0.251152813
Run08164_Seq0001_Scan155,20080729,19.54500008,-106.40003,66.650101,FALSE,TRUE,NA,NA,2.64E+13,0.431111753
Run08164_Seq0001_Scan156,20080729,19.54500008,-106.80069,67.027634,FALSE,TRUE,NA,NA,2.64E+13,0.784949422
Run08164_Seq0001_Scan157,20080729,19.55388832,-107.21437,67.405334,FALSE,TRUE,NA,NA,2.64E+13,0.707053661
Run08164_Seq0001_Scan158,20080729,19.55388832,-107.63915,67.781189,FALSE,TRUE,NA,NA,2.64E+13,0.238074049
Run08164_Seq0001_Scan159,20080729,19.55388832,-108.07784,68.156876,FALSE,TRUE,NA,NA,2.64E+13,0.175630286
Run08164_Seq0001_Scan160,20080729,19.55388832,-108.5295,68.530663,FALSE,TRUE,NA,NA,2.64E+13,0.202690259
Run08164_Seq0001_Scan161,20080729,19.56277847,-108.99566,68.903679,FALSE,TRUE,NA,NA,2.64E+13,0.054710705
Run08164_Seq0001_Scan162,20080729,19.56277847,-109.47662,69.275299,FALSE,TRUE,NA,NA,2.64E+13,0.30238536
Run08164_Seq0001_Scan163,20080729,19.56277847,-109.97427,69.646568,FALSE,TRUE,NA,NA,2.64E+13,0.234799132
Run08167_Seq0001_Scan063,20080729,21.01166725,-113.93494,30.38526,NA,TRUE,24946796808,0.094555006,2.64E+13,0.851788819
Run08167_Seq0001_Scan064,20080729,21.0205555,-114.04127,30.787832,NA,TRUE,4378592457,0.016596032,2.64E+13,0.466812342
Run08167_Seq0001_Scan065,20080729,21.0205555,-114.14834,31.190615,NA,TRUE,4378592457,0.016596032,2.64E+13,0.84990418
Run08167_Seq0001_Scan069,20080729,21.02944374,-114.58329,32.800495,NA,TRUE,7.85E+11,2.975084662,2.64E+13,0.24148275
Run08167_Seq0001_Scan070,20080729,21.02944374,-114.69369,33.202148,NA,TRUE,7.85E+11,2.975084662,2.64E+13,0.970872581
Run08167_Seq0001_Scan075,20080729,21.03833389,-115.25787,35.211376,FALSE,TRUE,4.44E+11,1.683841279,2.64E+13,0.987632751
Run08167_Seq0001_Scan077,20080729,21.04722214,-115.48932,36.014332,FALSE,TRUE,4.22E+12,15.99757963,2.64E+13,0.103781961
Run08167_Seq0001_Scan078,20080729,21.04722214,-115.60646,36.415775,FALSE,TRUE,94484802064,0.358122571,2.64E+13,0.431266457
Run08167_Seq0001_Scan079,20080729,21.04722214,-115.7245,36.817307,FALSE,TRUE,30550153550,0.115793221,2.64E+13,0.816031992
Run08167_Seq0001_Scan080,20080729,21.04722214,-115.84348,37.218529,FALSE,TRUE,30550153550,0.115793221,2.64E+13,0.380303085
Run08167_Seq0001_Scan081,20080729,21.04722214,-115.96346,37.619743,TRUE,TRUE,10020964878,0.037982127,2.64E+13,0.352402985
Run08167_Seq0001_Scan082,20080729,21.05611038,-116.08438,38.020905,TRUE,TRUE,10020964878,0.037982127,2.64E+13,0.934657097
Run08167_Seq0001_Scan083,20080729,21.05611038,-116.20647,38.422092,TRUE,TRUE,10020964878,0.037982127,2.64E+13,0.394346178
Run08167_Seq0001_Scan084,20080729,21.05611038,-116.32935,38.822552,TRUE,TRUE,20828346348,0.078944982,2.64E+13,0.128697693
Run08167_Seq0001_Scan087,20080729,21.06500053,-116.70486,40.024288,TRUE,TRUE,9545589847,0.036180329,2.64E+13,0.056169834
Run08167_Seq0001_Scan088,20080729,21.06500053,-116.83226,40.424809,TRUE,TRUE,9545589847,0.036180329,2.64E+13,0.053752638
Run08167_Seq0001_Scan089,20080729,21.06500053,-116.96099,40.825451,TRUE,TRUE,1.70E+11,0.644716938,2.64E+13,0.993366957
Run08167_Seq0001_Scan090,20080729,21.06500053,-117.0908,41.225708,TRUE,TRUE,1.70E+11,0.644716938,2.64E+13,0.948429644
Run08167_Seq0001_Scan092,20080729,21.07388878,-117.35419,42.025448,TRUE,TRUE,6185110190,0.023443215,2.64E+13,0.144552276
Run08167_Seq0001_Scan093,20080729,21.07388878,-117.48802,42.425625,TRUE,TRUE,6185110190,0.023443215,2.64E+13,0.017463567
Run08167_Seq0001_Scan094,20080729,21.07388878,-117.62328,42.825909,TRUE,TRUE,10965837474,0.041563445,2.64E+13,0.065931611
Run08167_Seq0001_Scan097,20080729,21.07388878,-118.03661,44.023537,TRUE,TRUE,24599649916,0.093239227,2.64E+13,0.028002243
Run08167_Seq0001_Scan098,20080729,21.07388878,-118.17762,44.423374,TRUE,TRUE,24599649916,0.093239227,2.64E+13,0.035563804
Run08167_Seq0001_Scan099,20080729,21.08277702,-118.31979,44.821609,TRUE,TRUE,3.39E+11,1.285844225,2.64E+13,0.002707756
Run08167_Seq0001_Scan100,20080729,21.08277702,-118.46376,45.220722,TRUE,TRUE,3.39E+11,1.285844225,2.64E+13,0.146324202
Run08167_Seq0001_Scan102,20080729,21.08277702,-118.75674,46.01844,TRUE,TRUE,1.48E+12,5.591307176,2.64E+13,0.018891877
Run08167_Seq0001_Scan103,20080729,21.08277702,-118.90567,46.41671,TRUE,TRUE,1.48E+12,5.591307176,2.64E+13,0.427271396
Run08167_Seq0001_Scan104,20080729,21.09166718,-119.05664,46.81543,TRUE,TRUE,6.96E+11,2.636795286,2.64E+13,0.037592728
Run08167_Seq0001_Scan106,20080729,21.09166718,-119.36362,47.611439,TRUE,TRUE,2.09E+11,0.790621206,2.64E+13,0.07083977
Run08167_Seq0001_Scan108,20080729,21.10055542,-119.6781,48.406078,FALSE,TRUE,2.36E+11,0.89381714,2.64E+13,0.049007002
Run08167_Seq0001_Scan109,20080729,21.10055542,-119.8384,48.803253,FALSE,TRUE,1.51E+11,0.573198261,2.64E+13,0.036751609
Run08167_Seq0001_Scan110,20080729,21.10055542,-120.00124,49.201157,FALSE,TRUE,1.51E+11,0.573198261,2.64E+13,0.057036825
Run08167_Seq0001_Scan111,20080729,21.10055542,-120.16574,49.597755,FALSE,TRUE,3.56E+11,1.348077057,2.64E+13,0.160634726
Run08167_Seq0001_Scan112,20080729,21.10055542,-120.33252,49.994366,FALSE,TRUE,3.56E+11,1.348077057,2.64E+13,0.070439778
Run08167_Seq0001_Scan113,20080729,21.10944366,-120.50174,50.390903,FALSE,TRUE,2.32E+11,0.877683837,2.64E+13,0.263363242
Run08167_Seq0001_Scan114,20080729,21.10944366,-120.67354,50.787746,FALSE,TRUE,NA,NA,2.64E+13,0.196050569
Run08167_Seq0001_Scan115,20080729,21.10944366,-120.84745,51.183712,FALSE,TRUE,NA,NA,2.64E+13,0.085814014
Run08167_Seq0001_Scan116,20080729,21.10944366,-121.02398,51.57967,FALSE,TRUE,NA,NA,2.64E+13,0.14367339
Run08167_Seq0001_Scan117,20080729,21.11833382,-121.20332,51.975967,FALSE,TRUE,NA,NA,2.64E+13,0.057390299
Run08167_Seq0001_Scan118,20080729,21.11833382,-121.38526,52.371624,FALSE,TRUE,NA,NA,2.64E+13,0.10573642
Run08167_Seq0001_Scan119,20080729,21.11833382,-121.56953,52.766277,FALSE,TRUE,NA,NA,2.64E+13,0.131052122
Run08167_Seq0001_Scan120,20080729,21.11833382,-121.75701,53.161266,FALSE,TRUE,NA,NA,2.64E+13,0.103404716
Run08167_Seq0001_Scan121,20080729,21.11833382,-121.94743,53.556274,FALSE,TRUE,NA,NA,2.64E+13,0.011522762
Run08167_Seq0001_Scan122,20080729,21.12722206,-122.14123,53.951481,FALSE,TRUE,NA,NA,2.64E+13,0.018392771
Run08167_Seq0001_Scan123,20080729,21.12722206,-122.33783,54.345734,FALSE,TRUE,NA,NA,2.64E+13,0.00430523
Run08167_Seq0001_Scan124,20080729,21.12722206,-122.53771,54.739861,FALSE,TRUE,NA,NA,2.64E+13,0.014567349
Run08167_Seq0001_Scan125,20080729,21.12722206,-122.74066,55.13306,FALSE,TRUE,NA,NA,2.64E+13,0.503358722
Run08167_Seq0001_Scan126,20080729,21.13611031,-122.94739,55.526493,FALSE,TRUE,NA,NA,2.64E+13,0.085895345
Run08167_Seq0001_Scan128,20080729,21.13611031,-123.37158,56.312328,FALSE,TRUE,NA,NA,2.64E+13,0.090234049
Run08167_Seq0001_Scan129,20080729,21.13611031,-123.58985,56.705486,FALSE,TRUE,NA,NA,2.64E+13,0.211206317
Run08167_Seq0001_Scan130,20080729,21.13611031,-123.81146,57.097282,FALSE,TRUE,NA,NA,2.64E+13,0.654822409
Run08167_Seq0001_Scan131,20080729,21.14500046,-124.03736,57.489128,FALSE,TRUE,NA,NA,2.64E+13,0.093627006
